,Job roles,Minimum experience,Maximum experience,Average salary,Minimum salary,Maximum salary
0,Application Development Analyst,0,6,774200.0,340000.0,1570000.0
1,Application Development - Senior Analyst,2,9,1209500.0,440000.0,1970000.0
2,Team Lead,4,14,1510500.0,210000.0,2840000.0
3,Senior Analyst,1,12,1113200.0,140000.0,2130000.0
4,Application Development Associate,0,2,464000.0,260000.0,810000.0
5,Software Engineer,0,6,683900.0,260000.0,1650000.0
6,Senior Software Engineer,2,10,1162900.0,480000.0,2600000.0
7,Application Development Team Lead,4,12,1774100.0,900000.0,2700000.0
8,Transaction Processing Associate,0,7,338600.0,130000.0,780000.0
9,Associate Software Engineer,0,4,467600.0,310000.0,700000.0
10,Analyst,0,11,605000.0,100000.0,1110000.0
11,Software Developer,0,7,705800.0,240000.0,1800000.0
12,Softwaretest Engineer,1,6,558600.0,220000.0,1280000.0
13,Process Associate,0,7,323000.0,130000.0,720000.0
14,SME,3,11,614500.0,340000.0,1110000.0
15,Associate Application Development Manager,7,16,2423200.0,1400000.0,3500000.0
16,Financial Analyst,0,12,672200.0,280000.0,1460000.0
17,Software Testing Engineer,2,5,501400.0,340000.0,700000.0
18,Devops Engineer,1,7,777800.0,300000.0,1900000.0
19,Application Development Specialist,5,12,1912800.0,810000.0,3000000.0
20,Senior Associate,0,9,469300.0,200000.0,1060000.0
21,Business Analyst,0,10,866600.0,210000.0,2500000.0
22,Transaction Processing Analyst,1,12,582800.0,230000.0,1140000.0
23,Content Moderator,0,5,276700.0,140000.0,520000.0
24,Application Development Specialist Team Lead,4,12,1929500.0,1000000.0,2900000.0
25,Data Engineering Analyst,0,5,783000.0,420000.0,1500000.0
26,Management Consultant,2,12,3037800.0,1460000.0,4700000.0
27,Quality Analyst,0,8,530900.0,200000.0,1200000.0
28,Transaction Processing new Associate,0,4,251500.0,150000.0,460000.0
29,Software Engineer Analyst,0,6,710800.0,380000.0,1500000.0
30,Testing Engineering Analyst,1,6,755700.0,400000.0,1230000.0
