,Job roles,Minimum experience,Maximum experience,Average salary,Minimum salary,Maximum salary
0,Programmer Analyst,0,7,517500.0,250000.0,910000.0
1,Senior Associate,2,16,1549400.0,330000.0,2750000.0
2,Senior Processing Executive,0,8,383600.0,200000.0,710000.0
3,Project Associate,0,11,1112100.0,200000.0,2040000.0
4,Software Engineer,0,7,762500.0,260000.0,1900000.0
5,Processing Executive,0,3,245700.0,20000.0,460000.0
6,Programmer Analyst Trainee,0,1,418300.0,250000.0,700000.0
7,Technical Lead,2,15,1172000.0,450000.0,2870000.0
8,Softwaretest Engineer,1,6,571700.0,230000.0,1350000.0
9,Project Manager,8,20,2182500.0,920000.0,3400000.0
10,Team Lead,2,17,931200.0,390000.0,2000000.0
11,Process Specialist,2,12,578700.0,300000.0,1050000.0
12,Junior Software Engineer,0,4,478300.0,270000.0,800000.0
13,Software Developer,0,8,792400.0,200000.0,2800000.0
14,Senior Project Associate,4,14,1718000.0,580000.0,3000000.0
15,Senior Systems Engineer,0,8,558700.0,150000.0,1000000.0
16,Associate/Senior Associate -(Technical),0,18,1009500.0,630000.0,1500000.0
17,SME,2,13,552200.0,200000.0,890000.0
18,Senior Process Associate,0,8,388500.0,200000.0,700000.0
19,Senior Software Engineer,2,12,1381300.0,400000.0,3600000.0
20,Programmer,0,4,299100.0,180000.0,500000.0
21,Tech Lead,2,12,926800.0,490000.0,2150000.0
22,Devops Engineer,1,7,734100.0,250000.0,1900000.0
23,Test Analyst,0,8,599500.0,200000.0,1660000.0
24,Senior Developer,2,11,1114000.0,500000.0,2400000.0
25,Junior Data Analyst,0,5,420000.0,240000.0,770000.0
26,Associate Software Programmer,0,8,851900.0,400000.0,1650000.0
27,Test Professional,0,5,247800.0,150000.0,410000.0
28,Data Analyst,0,10,632400.0,240000.0,1550000.0
29,Process Associate,0,7,280000.0,100000.0,920000.0
30,Team Manager,4,18,1273700.0,700000.0,2300000.0
31,Associate Software Engineer,0,7,855800.0,320000.0,2000000.0
32,Software Testing Engineer,2,6,514600.0,300000.0,810000.0
33,Senior Process Executive Data,0,7,376700.0,220000.0,600000.0
34,Business Analyst,0,11,931900.0,270000.0,2500000.0
35,Program Analyst,0,4,482700.0,300000.0,770000.0
36,Salesforce Developer,0,6,744000.0,230000.0,2050000.0
37,Test Engineer,0,6,593700.0,110000.0,1150000.0
38,Senior Consultant,4,16,1946500.0,780000.0,3100000.0
39,Trainee Programmer,0,2,259800.0,190000.0,350000.0
40,Automation Test Engineer,0,7,658200.0,280000.0,1450000.0
41,Infra Technology Specialist,5,15,1613300.0,900000.0,2300000.0
42,Senior Test Analyst,2,15,980500.0,510000.0,1900000.0
