,Job roles,Minimum experience,Maximum experience,Average salary,Minimum salary,Maximum salary
0,Software Engineer,0,6,523800.0,220000.0,1200000.0
1,Technical Lead,4,13,1381700.0,630000.0,2830000.0
2,Lead Engineer,2,11,834500.0,410000.0,1530000.0
3,Analyst,0,6,387300.0,180000.0,1000000.0
4,Senior Analyst,0,8,467400.0,210000.0,950000.0
5,Senior Software Engineer,2,10,923600.0,400000.0,2010000.0
6,Senior Technical Lead,7,15,1806000.0,900000.0,3300000.0
7,Senior Software Developer,2,8,793000.0,350000.0,2000000.0
8,Design Engineer,0,7,378800.0,200000.0,700000.0
9,Senior Developer,3,8,855000.0,400000.0,1910000.0
10,Business Analyst,0,10,624800.0,10000.0,1850000.0
11,Deputy Manager,3,15,1037600.0,500000.0,2050000.0
12,Technical Specialist,5,15,1296400.0,550000.0,2850000.0
13,Senior Specialist,3,12,964100.0,450000.0,2000000.0
14,Associate Consultant,6,17,1632500.0,510000.0,2800000.0
15,Network Engineer,0,7,425800.0,200000.0,900000.0
16,Network Analyst,0,3,284500.0,180000.0,480000.0
17,IT Analyst,0,4,272900.0,150000.0,520000.0
18,Softwaretest Engineer,1,5,520900.0,270000.0,850000.0
19,Oracle Database Administrator,1,7,541800.0,250000.0,1210000.0
20,Senior Consultant,5,12,1665500.0,500000.0,2800000.0
21,Senior Business Analyst,3,11,1055500.0,320000.0,1900000.0
22,Project Lead,5,12,1066800.0,520000.0,2000000.0
23,HR Executive,0,6,316100.0,180000.0,570000.0
24,Software Developer,0,5,532200.0,280000.0,930000.0
25,System Administrator,1,6,443200.0,25000.0,970000.0
26,Senior Test Lead,8,14,1409000.0,700000.0,2350000.0
27,Senior Test Engineer,3,11,793900.0,400000.0,1450000.0
28,Member Technical Staff,0,6,434400.0,240000.0,860000.0
29,Java Developer,1,4,490000.0,210000.0,1010000.0
30,Graduate Engineer Trainee (Get),0,2,312900.0,220000.0,450000.0
31,SAP Basis Consultant,1,7,648300.0,260000.0,1350000.0
32,Associate Technical Consultant,5,15,1393500.0,530000.0,2200000.0
33,Data Analyst,0,5,424500.0,170000.0,850000.0
34,Mechanical Engg. Design,1,7,369600.0,230000.0,700000.0
35,Desktop Support Engineer,0,3,184200.0,100000.0,400000.0
36,Senior Project Manager,12,18,1948200.0,1100000.0,3000000.0
37,Automation Test Engineer,1,6,487600.0,210000.0,1030000.0
38,Servicenow Developer,1,6,592500.0,250000.0,1250000.0
39,Senior Engineer,3,8,656600.0,240000.0,1190000.0
40,Test Engineer,2,5,520500.0,330000.0,850000.0
41,System Analyst,1,4,325500.0,180000.0,600000.0
42,Quality Analyst,1,6,358900.0,100000.0,600000.0
43,Linux System Administrator,1,5,432900.0,210000.0,800000.0
