,Job roles,Minimum experience,Maximum experience,Average salary,Minimum salary,Maximum salary
0,System Engineer,0,11,539900.0,190000.0,1130000.0
1,AST Consultant,5,14,1406100.0,600000.0,3200000.0
2,IT Analyst,3,11,873800.0,370000.0,1850000.0
3,Assistant System Engineer,0,4,380800.0,270000.0,540000.0
4,Associate Consultant,4,21,1841800.0,390000.0,3250000.0
5,IT Analyst C2,3,10,987800.0,400000.0,2600000.0
6,Software Engineer,0,8,578200.0,200000.0,1450000.0
7,Senior Process Associate,0,11,430200.0,230000.0,770000.0
8,Software Developer,0,9,569500.0,190000.0,1420000.0
9,System Engineer Hardware,0,6,608300.0,300000.0,1150000.0
10,Process Associate,0,9,290600.0,95000.0,480000.0
11,Business Process Leader,1,14,689900.0,300000.0,1130000.0
12,Devops Engineer,0,8,627900.0,190000.0,2000000.0
13,Softwaretest Engineer,0,6,533600.0,190000.0,1350000.0
14,Business Analyst,0,13,758100.0,180000.0,2600000.0
15,Assistant System Engineer Trainee,0,2,350600.0,290000.0,410000.0
16,Team Lead,2,16,744000.0,250000.0,1950000.0
17,Senior Associate,0,12,418100.0,200000.0,870000.0
18,Technical Lead,4,17,1457500.0,110000.0,2860000.0
19,System Administrator,0,11,491800.0,190000.0,1300000.0
20,Java Developer,0,8,496800.0,190000.0,1200000.0
21,Analyst,0,9,497000.0,100000.0,1700000.0
22,IT Analyst Grade C2,3,9,958700.0,440000.0,2300000.0
23,Associate Systems Engineer,0,3,378900.0,270000.0,510000.0
24,Data Analyst,0,9,492000.0,150000.0,1370000.0
25,Senior Software Engineer,2,11,1001200.0,300000.0,2800000.0
26,Information Process Enabler,0,8,276500.0,120000.0,580000.0
27,Data Engineer,0,9,584600.0,160000.0,1500000.0
28,Test Engineer,0,7,522200.0,180000.0,1200000.0
29,Project Manager,2,20,1530300.0,440000.0,4300000.0
30,Automation Test Engineer,0,10,555500.0,220000.0,1450000.0
31,Associate Software Engineer,0,5,405800.0,220000.0,800000.0
32,Power BI Developer,1,6,575600.0,200000.0,1020000.0
33,Software Testing Engineer,1,5,459700.0,300000.0,750000.0
34,Quality Analyst,0,9,454400.0,190000.0,1100000.0
35,Test Analyst,0,12,577300.0,200000.0,1450000.0
36,IT Analyst Team Lead,3,12,860500.0,400000.0,1600000.0
37,Information Process Specialist,0,11,304100.0,140000.0,610000.0
38,SAP Fico Consultant,0,10,718100.0,220000.0,2100000.0
