,Job roles,Minimum experience,Maximum experience,Average salary,Minimum salary,Maximum salary
0,Project Engineer,0,8,471200.0,180000.0,1170000.0
1,Senior Associate,0,7,291100.0,90000.0,860000.0
2,Senior Software Engineer,2,10,1231200.0,49000.0,2500000.0
3,Technical Lead,4,16,1840500.0,450000.0,3250000.0
4,Senior Project Engineer,1,10,1041700.0,330000.0,2700000.0
5,Software Engineer,0,6,681200.0,190000.0,2100000.0
6,Softwaretest Engineer,1,6,545300.0,220000.0,1300000.0
7,Associate Consultant,0,12,960400.0,200000.0,3340000.0
8,Analyst,0,8,409500.0,110000.0,1250000.0
9,Software Developer,0,6,650800.0,180000.0,1800000.0
10,Lead Administrator,4,16,1501100.0,600000.0,2500000.0
11,Senior Administrator,3,12,957700.0,370000.0,2200000.0
12,Team Lead,2,14,840600.0,140000.0,3500000.0
13,Senior Test Engineer,2,10,1049200.0,380000.0,2400000.0
14,Project Manager,4,23,1747100.0,200000.0,3500000.0
15,Test Engineer,0,7,537600.0,180000.0,1500000.0
16,Devops Engineer,1,7,683000.0,210000.0,2000000.0
17,Senior Analyst,1,10,714600.0,160000.0,2100000.0
18,Associate Analyst,0,6,312000.0,100000.0,800000.0
19,System Administrator,0,9,452700.0,150000.0,1250000.0
20,Process Associate,0,4,233800.0,100000.0,500000.0
21,Quality Analyst,0,7,360700.0,110000.0,1000000.0
22,Lead Consultant,6,20,2298100.0,1010000.0,3650000.0
23,Business Analyst,0,12,967700.0,280000.0,2780000.0
24,Senior Officer,0,8,355100.0,190000.0,560000.0
25,Senior Consultant,4,17,1882200.0,770000.0,4000000.0
26,Software Testing Engineer,2,5,462400.0,300000.0,900000.0
27,Architect,9,20,2622800.0,1100000.0,4200000.0
28,Principal Consultant,9,22,2697000.0,1400000.0,4900000.0
29,Desktop Support Engineer,0,7,269000.0,140000.0,520000.0
30,Project Lead,5,17,1592600.0,550000.0,2900000.0
31,Senior System Administrator,3,12,980400.0,320000.0,1800000.0
32,System Engineer,0,7,415000.0,140000.0,1000000.0
33,Senior Engineer,2,10,1265900.0,270000.0,2300000.0
34,Power BI Developer,1,6,604200.0,240000.0,1400000.0
35,Test Lead,6,15,1481500.0,690000.0,3000000.0
36,Network Engineer,0,10,415000.0,190000.0,1010000.0
37,Senior Software Developer,3,10,1269100.0,310000.0,2450000.0
38,Senior Associate 1,0,5,271800.0,120000.0,600000.0
39,Senior Process Associate,0,7,313900.0,140000.0,650000.0
40,Automation Test Engineer,0,6,579000.0,200000.0,1400000.0
41,Network Administrator,0,10,505800.0,200000.0,1300000.0
42,Technical Support Engineer,0,6,321400.0,150000.0,740000.0
43,Data Analyst,0,6,487600.0,150000.0,1300000.0
44,Benefits Operations Administrator,0,8,412700.0,300000.0,540000.0
45,SME,1,10,435400.0,150000.0,1250000.0
46,Production Specialist,0,5,267400.0,110000.0,700000.0
47,Deputy Manager,6,18,1146800.0,530000.0,1850000.0
48,Java Developer,0,5,559400.0,180000.0,1450000.0
49,Delivery Manager,13,25,2480000.0,900000.0,4000000.0
50,Technical Consultant,1,16,1490900.0,230000.0,3300000.0
51,Data Engineer,1,7,738700.0,200000.0,2400000.0
52,Salesforce Developer,0,6,631200.0,250000.0,1700000.0
53,Tech Lead,6,15,1928800.0,850000.0,3800000.0
54,Cyber Security Analyst,0,6,481600.0,210000.0,1000000.0
55,Security Analyst,0,6,524800.0,280000.0,950000.0
56,Content Reviewer,0,4,267400.0,70000.0,450000.0
57,SAP Fico Consultant,2,10,768300.0,200000.0,2400000.0
58,Student Computer Application,0,4,251700.0,15000.0,440000.0
59,Officer,0,5,279000.0,150000.0,550000.0
60,Solution Architect,9,20,2511900.0,1100000.0,4000000.0
61,Lead Analyst,4,14,1201100.0,600000.0,1900000.0
62,Lead Engineer,5,12,1894200.0,880000.0,3000000.0
63,Linux Administrator,1,6,538900.0,180000.0,1500000.0
64,Oracle Database Administrator,1,8,718000.0,200000.0,2100000.0
65,Application Support Engineer,0,6,427600.0,150000.0,1030000.0
66,Solution Delivery Analyst,4,12,578100.0,360000.0,800000.0
67,Scrum Master,5,16,1603400.0,550000.0,3800000.0
68,Content Moderator,0,6,312200.0,120000.0,500000.0
69,Operations Manager,6,18,1129600.0,350000.0,2280000.0
70,SAP Abap Consultant,1,7,655700.0,280000.0,1500000.0
71,Benefits Operations Manager,7,15,851700.0,500000.0,1230000.0
72,Senior Software Test Engineer,2,7,1104000.0,340000.0,2200000.0
73,Financial Analyst,0,8,394100.0,190000.0,1070000.0
74,Full Stack Developer,0,8,575400.0,200000.0,1500000.0
75,Operations Executive,0,7,278600.0,140000.0,610000.0
76,IT Project Manager,10,21,1483000.0,540000.0,2600000.0
77,QA Engineer,1,4,475700.0,250000.0,900000.0
78,UI Developer,1,5,594000.0,220000.0,1500000.0
79,HR Executive,0,7,313200.0,170000.0,550000.0
80,Program Manager,11,24,2361500.0,850000.0,4000000.0
81,Senior Executive - Finance,0,6,866300.0,260000.0,1500000.0
82,Servicenow Developer,1,6,687000.0,240000.0,1700000.0
83,Assistant Manager- HR,2,10,1230900.0,400000.0,2020000.0
84,Production Support Engineer,1,6,494800.0,250000.0,950000.0
85,Senior Accounts Officer,2,7,318200.0,200000.0,430000.0
86,Vlsi Engineer,0,4,462100.0,300000.0,1100000.0
87,Technical Support Associate,0,4,206000.0,110000.0,420000.0
88,Analyst Developer,4,9,1093700.0,690000.0,1510000.0
89,Senior Developer,2,9,1277800.0,300000.0,2400000.0
90,Technical Architect,9,18,2568300.0,1300000.0,4000000.0
91,Accounts Officer,0,4,235300.0,150000.0,400000.0
92,Senior Technical Lead,8,15,1574000.0,840000.0,2810000.0
93,Middleware Administrator,1,6,601800.0,200000.0,1250000.0
94,Wintel Administrator,1,8,426300.0,190000.0,1150000.0
95,Processing Executive,0,4,224400.0,110000.0,450000.0
96,Test Manager,9,16,1270000.0,680000.0,2750000.0
97,Customer Care Executive,0,5,228400.0,30000.0,450000.0
98,Finance Executive,0,8,376900.0,150000.0,740000.0
99,Pega Developer,2,5,578600.0,300000.0,1000000.0
100,Tableau Developer,2,6,611200.0,320000.0,1100000.0
101,Sccm Administrator,2,7,569600.0,180000.0,1150000.0
102,Technical Project Lead,7,14,1438700.0,840000.0,2400000.0
103,Senior Systems Engineer,3,9,1037400.0,430000.0,2200000.0
104,KYC Analyst,0,7,342900.0,190000.0,600000.0
105,Pharmacovigilance Officer,0,4,327200.0,200000.0,450000.0
106,Senior Test Analyst,3,11,880200.0,450000.0,1800000.0
107,Programmer Analyst,1,7,616400.0,290000.0,1200000.0
108,Team Member,1,4,287300.0,160000.0,500000.0
109,Technical Support Executive,0,5,246700.0,110000.0,460000.0
110,Senior Business Analyst,3,13,1496000.0,550000.0,3000000.0
111,Major Incident Manager,1,11,674500.0,200000.0,1500000.0
112,Delivery Head,16,27,3215000.0,1850000.0,5000000.0
113,Senior Oracle Database Administrator,4,8,850200.0,420000.0,1500000.0
114,Resource Manager,1,12,612500.0,20000.0,1200000.0
115,SQL Database Administrator,1,7,639700.0,220000.0,1470000.0
116,Senior Service Manager,8,17,1286900.0,700000.0,1940000.0
117,Network Engineer L1,0,4,256700.0,140000.0,420000.0
118,SAP Consultant,1,8,700100.0,240000.0,1800000.0
119,Domain Consultant,1,14,1130200.0,590000.0,2650000.0
120,Salesforce Consultant,2,7,916100.0,280000.0,1750000.0
121,Senior Devops Engineer,3,9,1035000.0,490000.0,2500000.0
122,Senior Practice Manager,12,18,2486300.0,1600000.0,4000000.0
123,HR Business Partner,1,11,1341000.0,330000.0,2450000.0
124,SOC Analyst,0,5,515700.0,280000.0,950000.0
125,Service Delivery Manager,11,22,1871900.0,530000.0,3170000.0
126,Information Technology Support Engineer,0,5,278000.0,130000.0,850000.0
127,SAP Basis Consultant,1,6,657500.0,300000.0,1400000.0
128,Technical Manager,10,19,1861000.0,900000.0,3900000.0
129,Risk Analyst,0,5,204300.0,120000.0,420000.0
130,Customer Service Associate,0,6,241300.0,120000.0,480000.0
131,Desktop Support Engineer L2,0,6,279000.0,170000.0,410000.0
132,PMO Lead,4,14,765100.0,330000.0,1500000.0
133,Big Data Developer,1,8,831700.0,200000.0,2200000.0
134,Test Analyst,1,7,610700.0,200000.0,1700000.0
135,Front end Developer,0,5,533700.0,180000.0,1500000.0
136,Associate Software Engineer,0,4,494200.0,190000.0,1200000.0
137,Team Leader (Technical),2,15,1155100.0,200000.0,2610000.0
138,Pharmacovigilance Associate,0,3,318800.0,240000.0,480000.0
139,Mainframe Developer,1,4,590300.0,200000.0,1200000.0
140,Process Trainer,1,8,357500.0,220000.0,730000.0
141,Sharepoint Administrator,2,7,627500.0,250000.0,1250000.0
142,Automation Test Lead,6,13,1205900.0,630000.0,2440000.0
143,Senior Financial Analyst,3,9,499000.0,330000.0,800000.0
144,IT Administrator,1,7,367400.0,150000.0,700000.0
145,Desktop Support Engineer L1,0,5,224300.0,100000.0,420000.0
146,Senior Technical Consultant,3,13,1261900.0,390000.0,2520000.0
147,Technical Writer,1,8,482400.0,180000.0,1200000.0
148,Assistant Manager Operations,5,13,678700.0,430000.0,1080000.0
149,Linux System Administrator,1,6,520000.0,200000.0,1200000.0
150,Back Office Executive,0,6,243000.0,100000.0,500000.0
151,Delivery Analyst,3,9,548300.0,320000.0,780000.0
152,Desktop Engineer,0,4,217600.0,10000.0,350000.0
153,SAP SD Consultant,1,8,714100.0,230000.0,1650000.0
154,Senior HR Executive,2,10,491000.0,250000.0,960000.0
155,ETL Tester,2,5,610300.0,340000.0,1020000.0
156,Senior Database Administrator,4,10,1086500.0,570000.0,1800000.0
157,Performance Tester,2,4,515200.0,320000.0,850000.0
158,Module Lead,7,15,1368000.0,610000.0,2500000.0
159,Python Developer,1,6,570000.0,300000.0,1300000.0
160,RPA Developer,2,6,615300.0,300000.0,1300000.0
161,Presales Consultant,0,4,1614500.0,1000000.0,2100000.0
162,Associate Technical Consultant,1,11,946000.0,200000.0,2400000.0
163,SAP Security & GRC Consultant,2,6,655100.0,300000.0,1400000.0
164,Hadoop Developer,2,6,571600.0,220000.0,1400000.0
165,QA Analyst,1,5,408400.0,160000.0,780000.0
166,Senior Software Tester,3,10,788100.0,400000.0,1400000.0
167,Service Desk Analyst,0,7,316400.0,150000.0,620000.0
168,MIS Executive,0,6,320800.0,120000.0,700000.0
169,Logistic Coordinator,1,6,210100.0,120000.0,350000.0
170,Software Tester,1,5,458700.0,200000.0,820000.0
171,L2 Network Engineer,2,8,499100.0,200000.0,1130000.0
172,Storage Backup Administrator,1,7,450400.0,200000.0,1260000.0
173,Senior Storage Administrator,4,9,867800.0,360000.0,1520000.0
174,Senior Scrum Master,11,18,2253500.0,1080000.0,3500000.0
175,Group Leader,5,12,765000.0,410000.0,1500000.0
176,SQL Developer,1,5,435700.0,210000.0,850000.0
177,DOT NET Developer,0,6,486600.0,210000.0,1100000.0
178,HR Manager,5,16,1893900.0,730000.0,2800000.0
179,Team Lead Operations,2,11,501000.0,260000.0,1100000.0
180,Network Security Administrator,2,10,547800.0,240000.0,1300000.0
181,Technical Project Manager,10,18,2029900.0,850000.0,3900000.0
182,Processor,0,4,300600.0,180000.0,420000.0
183,Informatica ETL Developer,1,5,519700.0,280000.0,900000.0
184,Data Scientist,1,7,928200.0,300000.0,2400000.0
185,Hadoop Administrator,2,8,823300.0,300000.0,1600000.0
186,Senior Delivery Manager,15,25,2871700.0,1700000.0,4200000.0
187,ETL Developer,1,5,534800.0,200000.0,1200000.0
188,PMO Analyst,1,10,530700.0,240000.0,1150000.0
189,Senior Production Engineer,3,8,827300.0,380000.0,1680000.0
190,Technical Associate,0,4,236900.0,100000.0,630000.0
191,Senior Accounts Executive,2,9,454600.0,180000.0,780000.0
192,Oracle Financial Functional Consultant,2,8,737900.0,410000.0,1900000.0
193,Senior Processing Executive,1,5,323200.0,140000.0,600000.0
194,Business Finance Manager,0,10,1759000.0,550000.0,2900000.0
195,Citrix Administrator,1,7,563200.0,210000.0,1300000.0
196,Salesforce Administrator,1,5,480500.0,200000.0,900000.0
197,Storage Administrator,1,6,480100.0,180000.0,1120000.0
198,Senior Software Engineer Testing,3,10,833200.0,450000.0,1530000.0
199,Cloud Engineer,1,6,578100.0,200000.0,1630000.0
